OriginAirportCode,Month,DayofMonth,CRSDepHour,DayOfWeek,Carrier,DestAirportCode,DepDel15,WindSpeed,SeaLevelPressure,HourlyPrecip
BNA,3,1,12,2,WN,MCI,0,6,30,0
SEA,3,4,18,5,OO,LAX,0,0,30,0
IAD,3,10,18,4,UA,SFO,0,13,29,0
SFO,3,27,13,7,VX,LAX,1,11,29,0
SLC,3,14,8,1,AA,DFW,0,10,30,0
MSP,3,31,10,4,DL,MKE,0,10,29,0
RIC,3,15,7,2,AA,DFW,1,7,29,0
ORD,3,12,19,6,UA,BUF,0,6,30,0
ATL,3,14,16,1,DL,LAS,0,11,30,0
PHL,3,7,7,1,WN,LAS,0,7,29,0
MSY,3,13,7,7,UA,IAH,0,0,30,0
ATL,3,21,8,1,DL,DCA,0,7,30,0
IAH,3,25,9,5,UA,DEN,1,13,30,0
LAX,3,22,7,2,OO,OAK,0,3,29,0
SFO,3,11,23,5,FL,ATL,1,9,30,0
EWR,3,31,14,4,UA,IAH,0,5,29,0
LGA,3,16,7,3,AA,MIA,0,5,29,0
MKE,3,16,17,3,FL,ATL,1,8,29,0
PHX,3,10,11,4,WN,SAN,1,10,29,0
BOS,3,6,16,7,B6,SJC,0,13,29,0
LAX,3,16,7,3,OO,OAK,1,3,30,0
PDX,3,20,10,7,AS,DFW,0,3,29,0
PHL,3,11,9,5,US,IAH,0,17,30,0
BWI,3,23,6,3,MQ,ORD,0,0,29,0
MSP,3,21,11,1,DL,ABQ,0,11,29,0
BWI,3,9,18,3,WN,CMH,0,9,30,0
MSY,3,20,6,7,DL,ATL,0,11,30,0
BOS,3,10,19,4,US,CLT,1,6,30,0
LAS,3,28,7,1,AS,PDX,0,26,29,0
JAX,3,7,6,1,MQ,MIA,0,5,29,0
ATL,3,1,8,2,FL,MDW,0,0,30,0
ORD,3,30,18,3,UA,LAS,0,5,29,0
MSP,3,8,15,2,DL,DCA,0,18,29,0
HOU,3,31,8,4,WN,EWR,0,13,29,0
AUS,3,25,6,5,B6,JFK,0,0,30,0
MKE,3,28,13,1,MQ,DFW,0,13,29,0
LGA,3,11,14,5,US,CLT,0,16,29,0
AUS,3,27,6,7,B6,JFK,0,0,29,0
LAX,3,26,21,6,OO,SAN,0,0,29,0
DTW,3,29,14,2,DL,PHL,0,5,30,0
BWI,3,9,13,3,US,CLT,0,15,30,0
PHL,3,13,14,7,YV,ORD,0,17,30,0
LGA,3,19,6,6,AA,MIA,0,0,29,0
CLT,3,30,22,3,YV,CVG,0,5,30,0
BOS,3,2,16,3,B6,BUF,0,15,29,0
AUS,3,29,11,2,WN,DAL,0,17,30,0
BDL,3,31,14,4,B6,SJU,0,0,30,0
LGA,3,7,18,1,AA,ORD,1,10,29,0
SLC,3,2,15,3,OO,BUR,0,9,29,0
SEA,3,20,18,7,WN,OAK,0,6,30,0
LAS,3,30,15,3,DL,ATL,1,5,29,0
BOS,3,7,13,1,B6,DFW,0,17,29,0
SEA,3,13,21,7,UA,ANC,0,0,30,0
SMF,3,3,15,4,WN,SAN,0,31,29,0
BUR,3,13,10,7,WN,PHX,0,0,29,0
JFK,3,21,15,1,B6,RSW,0,14,30,0
MIA,3,10,7,4,US,PHL,0,6,29,0
OAK,3,21,8,1,WN,BUR,0,0,30,0
ORD,3,25,7,5,AA,LAX,0,6,30,0
JFK,3,12,20,6,MQ,CMH,0,15,29,0
IND,3,7,7,1,FL,RSW,0,11,29,0
EWR,3,21,21,1,EV,DCA,0,11,30,0
PHL,3,7,18,1,US,MSP,0,7,29,0
ORD,3,18,12,5,EV,MCI,0,17,29,0
SEA,3,28,11,1,DL,ATL,0,20,29,0
MCO,3,25,14,5,AA,MIA,0,8,30,0
DTW,3,17,19,4,EV,MEM,0,11,29,0
LGB,3,10,15,4,B6,OAK,0,9,29,0
AUS,3,11,12,5,WN,MDW,0,9,29,0
DTW,3,11,6,5,EV,ORD,0,5,30,0
IAH,3,9,17,3,EV,SLC,0,10,29,0
MIA,3,11,21,5,AA,LAX,0,10,30,0
SFO,3,12,7,6,OO,SLC,0,6,29,0
ATL,3,24,13,4,FL,FLL,1,8,30,0
ATL,3,28,7,1,US,PHX,0,0,30,0
MSP,3,16,17,3,9E,CVG,0,10,29,0
JFK,3,24,17,4,DL,LAX,1,17,29,0
PDX,3,30,6,3,DL,ATL,0,0,30,0
LAX,3,6,11,7,VX,DFW,0,3,30,0
MSP,3,5,8,6,AA,DFW,0,6,29,0
SNA,3,15,7,2,DL,MSP,0,0,29,0
BWI,3,17,13,4,WN,SAT,1,8,29,0
FLL,3,9,10,3,UA,EWR,0,10,29,0
EWR,3,2,21,3,EV,SDF,1,8,29,0
CLT,3,24,22,4,US,RDU,0,6,30,0
OGG,3,30,9,3,HA,HNL,0,10,30,0
OAK,3,25,18,5,WN,PHX,0,5,30,0
CLE,3,1,11,2,MQ,LGA,0,6,29,0
JFK,3,20,17,7,B6,RDU,0,13,29,0
MCO,3,21,12,1,WN,DEN,0,5,29,0
ATL,3,26,8,6,DL,LGA,0,8,30,0
AUS,3,6,8,7,UA,DEN,0,5,30,0
PDX,3,28,16,1,OO,SEA,0,6,29,0
ORD,3,7,10,1,UA,SFO,0,13,29,0
MCO,3,9,17,3,FL,BWI,0,16,30,0
TUS,3,23,7,3,YV,PHX,0,7,29,0
BNA,3,10,18,4,WN,FLL,0,3,30,0
LGB,3,17,16,4,YV,PHX,0,11,29,0
LAX,3,9,8,3,MQ,SJC,0,0,29,0
MCO,3,28,14,1,UA,ORD,0,5,30,0
HOU,3,16,18,3,WN,PHX,1,9,29,0
BUR,3,2,20,3,OO,PDX,0,0,29,0
LGA,3,31,12,4,9E,JAX,0,9,29,0
MSP,3,3,14,4,DL,SNA,0,7,29,0
ATL,3,15,17,2,WN,AUS,1,6,30,0
SEA,3,2,23,3,B6,BOS,0,0,30,0
DTW,3,26,7,6,MQ,ORD,0,25,29,0
BOS,3,21,18,1,US,DCA,0,14,30,0
SEA,3,13,6,7,AS,ANC,0,7,29,0
PHX,3,19,8,6,US,DEN,0,3,29,0
SAN,3,14,12,1,US,DCA,0,10,29,0
MSP,3,11,10,5,9E,CLE,0,22,29,0
CLT,3,14,7,1,MQ,ORD,0,11,30,0
RIC,3,17,7,4,US,CLT,0,5,29,0
STL,3,1,7,2,WN,MDW,0,6,29,0
CLE,3,2,19,3,9E,MSP,0,5,30,0
LAX,3,22,12,2,OO,SMF,0,10,29,0
IAD,3,1,8,2,UA,ORD,0,0,30,0
LAS,3,24,18,4,UA,SFO,0,6,29,0
BNA,3,24,8,4,MQ,DCA,1,3,30,0
MDW,3,13,20,7,WN,MCI,1,5,30,0
LAX,3,26,8,6,OO,SEA,0,0,29,0
MIA,3,28,18,1,AA,SAN,0,9,30,0
BNA,3,23,13,3,WN,BWI,0,7,30,0
LAX,3,22,6,2,AS,SEA,0,3,29,0
SNA,3,3,19,4,US,PHX,0,8,29,0
CLE,3,1,19,2,EV,DCA,1,6,30,0
HNL,3,9,14,3,HA,LAX,0,17,29,0
ATL,3,10,16,4,FL,MSY,0,11,30,0
PDX,3,21,11,1,OO,SFO,1,5,29,0
ORD,3,24,7,4,DL,MSP,0,13,30,0
CLE,3,21,19,1,OO,DEN,0,14,29,0
ATL,3,30,18,3,AS,SEA,0,5,30,0
SFO,3,5,22,6,UA,JFK,1,3,30,0
SEA,3,30,13,3,DL,MSP,0,7,29,0
PHL,3,29,20,2,US,BDL,0,3,30,0
BUR,3,1,17,2,OO,SLC,0,9,29,0
IAH,3,20,16,7,EV,BNA,0,7,29,0
LGA,3,9,8,3,US,CLT,0,18,30,0
IAH,3,25,12,5,EV,IND,0,10,30,0
PHX,3,23,8,3,US,DEN,0,7,29,0
OAK,3,26,7,6,WN,SAN,0,5,29,0
CMH,3,6,8,7,DL,ATL,0,5,29,0
SLC,3,30,21,3,DL,PDX,0,3,30,0
ATL,3,12,10,6,FL,BWI,0,6,30,0
PHL,3,11,18,5,US,TPA,0,14,29,0
JFK,3,6,7,7,VX,SFO,0,9,30,0
AUS,3,8,18,2,AA,DFW,0,3,29,0
MIA,3,24,6,4,OO,ORD,0,5,29,0
LAX,3,27,13,7,B6,JFK,1,11,29,0
OKC,3,28,12,1,WN,LAS,1,15,30,0
LAX,3,12,8,6,UA,SFO,0,0,29,0
SEA,3,8,10,2,WN,MDW,0,6,29,0
LGB,3,23,9,3,B6,LAS,0,0,29,0
ATL,3,2,13,3,DL,ORD,0,7,30,0
ORD,3,6,21,7,EV,BNA,1,8,29,0
SEA,3,4,21,5,UA,ANC,0,0,30,0
MIA,3,17,12,4,AA,LGA,0,9,29,0
SFO,3,20,7,7,B6,JFK,0,5,29,0
PDX,3,7,11,1,OO,LAX,0,7,30,0
MCO,3,24,18,4,DL,LAX,0,7,30,0
SEA,3,14,9,1,WN,SLC,0,3,30,0
LAX,3,22,13,2,UA,DEN,0,13,29,0
PHL,3,17,18,4,US,BOS,0,8,29,0
DAL,3,14,7,1,WN,SAT,0,9,30,0
MDW,3,24,14,4,WN,IAD,1,15,30,0
BOS,3,8,19,2,B6,SEA,0,8,30,0
SLC,3,22,10,2,DL,EWR,0,5,30,0
ORD,3,25,21,5,MQ,OMA,0,24,30,0
BUR,3,23,8,3,WN,LAS,0,6,29,0
CLT,3,8,11,2,US,IAH,0,14,30,0
SFO,3,2,13,3,UA,IAH,0,22,29,0
ATL,3,8,19,2,DL,LGA,0,11,30,0
SLC,3,28,8,1,DL,JFK,0,5,29,0
MSY,3,17,15,4,UA,EWR,0,9,29,0
PHX,3,16,10,3,WN,HOU,0,7,30,0
ATL,3,1,20,2,EV,EWR,0,0,30,0
STL,3,20,16,7,WN,MSP,1,15,29,0
SFO,3,31,15,4,WN,LAX,0,11,30,0
ORD,3,27,12,7,EV,CLE,1,16,30,0
MKE,3,13,18,7,DL,ATL,0,0,30,0
DTW,3,9,10,3,DL,BNA,0,7,30,0
MKE,3,16,8,3,WN,STL,0,9,29,0
SJC,3,8,16,2,WN,SNA,0,14,29,0
MIA,3,17,17,4,AA,BOS,0,10,29,0
DCA,3,5,16,6,US,BOS,0,10,30,0
BOS,3,8,16,2,UA,IAH,0,11,30,0
MSP,3,29,15,2,DL,MKE,0,9,30,0
DAL,3,12,17,6,WN,HOU,1,8,29,0
SJC,3,29,20,2,WN,SNA,0,3,30,0
CLT,3,13,11,7,US,PHL,0,9,30,0
BOS,3,13,15,7,B6,JFK,0,11,30,0
LAX,3,1,9,2,DL,DTW,0,6,29,0
LAX,3,24,19,4,WN,SMF,0,8,30,0
CLT,3,2,20,3,MQ,ORD,1,0,30,0
EWR,3,18,15,5,UA,ORD,0,18,29,0
HOU,3,28,11,1,WN,MSY,0,9,30,0
SFO,3,10,18,4,UA,ORD,0,8,29,0
AUS,3,15,6,2,AA,DFW,0,5,29,0
MDW,3,7,15,1,FL,ATL,0,11,29,0
MEM,3,20,8,7,DL,MSP,0,8,30,0
PHL,3,18,17,5,US,FLL,1,10,29,0
OAK,3,6,13,7,DL,SLC,0,9,30,0
SAN,3,21,16,1,US,PHX,0,8,29,0
DTW,3,14,12,1,DL,MKE,0,6,30,0
SMF,3,7,6,1,US,PHX,0,3,29,0
DTW,3,23,21,3,DL,BDL,0,8,29,0
SMF,3,16,10,3,OO,LAX,0,0,30,0
BWI,3,17,6,4,AA,MIA,0,0,29,0
ATL,3,7,13,1,FL,DCA,0,11,29,0
MKE,3,7,9,1,WN,MSP,0,16,29,0
MSP,3,15,7,2,DL,SEA,0,14,29,0
BDL,3,6,6,7,9E,CVG,0,6,29,0
ORD,3,13,6,7,OO,MKE,1,7,30,0
SNA,3,22,18,2,OO,SFO,1,5,29,0
IAH,3,15,17,2,US,CLT,0,10,29,0
BNA,3,31,8,4,WN,MSY,0,11,29,0
SFO,3,4,9,5,UA,LAS,0,6,30,0
MDW,3,13,18,7,WN,LAX,0,6,30,0
LAX,3,16,20,3,VX,SFO,0,8,30,0
PHL,3,14,11,1,US,MCO,0,7,29,0
BDL,3,2,15,3,WN,BWI,0,13,29,0
BOS,3,17,8,4,US,DCA,0,9,29,0
CLT,3,11,9,5,US,PHX,0,8,30,0
IAH,3,26,10,6,EV,IND,0,8,30,0
LGA,3,16,11,3,DL,ATL,0,8,30,0
RSW,3,13,11,7,FL,ATL,0,6,30,0
CLE,3,1,10,2,EV,ORD,0,5,30,0
BOS,3,19,5,6,DL,DTW,0,6,29,0
PHL,3,7,14,1,AA,DFW,1,26,29,0
MCO,3,31,16,4,UA,EWR,0,7,30,0
SJC,3,25,10,5,WN,LAS,0,0,30,0
SAT,3,16,6,3,YV,PHX,1,6,29,0
EWR,3,8,7,2,DL,ATL,0,10,30,0
LAX,3,22,7,2,DL,SLC,0,0,29,0
ORD,3,10,18,4,UA,PIT,1,9,30,0
LGA,3,11,16,5,DL,ATL,1,22,30,0
OMA,3,11,13,5,9E,DTW,0,23,29,0
LAX,3,31,10,4,US,PHX,0,3,30,0
LGA,3,6,17,7,DL,MCO,0,10,29,0
MDW,3,2,20,3,WN,STL,0,6,30,0
ORD,3,5,16,6,UA,RSW,1,7,29,0
IAH,3,28,23,1,UA,MSY,0,3,30,0
ORD,3,11,8,5,AA,DFW,0,7,30,0
DAL,3,20,10,7,WN,ABQ,1,14,30,0
ATL,3,25,16,5,WN,LAS,1,11,30,0
SFO,3,12,9,6,UA,ORD,0,0,29,0
CLT,3,24,20,4,US,ATL,1,5,30,0
SDF,3,17,12,4,YV,PHL,0,6,29,0
PHX,3,6,19,7,WN,LAX,1,0,29,0
IAH,3,1,14,2,AA,MIA,0,11,29,0
CLE,3,31,16,4,EV,RIC,0,20,29,0
MEM,3,31,9,4,EV,IAH,0,30,29,0
PHL,3,6,9,7,US,ORD,0,3,29,0
LAS,3,7,23,1,UA,ORD,0,10,29,0
ORD,3,14,17,1,UA,EWR,1,10,30,0
MSP,3,29,5,2,EV,IAH,0,8,30,0
MIA,3,11,11,5,AA,DCA,0,10,30,0
LAX,3,3,8,4,WN,OAK,0,3,29,0
SDF,3,30,12,3,MQ,DFW,0,8,30,0
BOS,3,24,16,4,DL,ATL,0,18,29,0
SDF,3,20,10,7,WN,MCO,0,9,30,0
LAS,3,21,14,1,WN,PIT,0,5,29,0
IAD,3,13,8,7,UA,SEA,0,8,29,0
ORD,3,19,6,6,UA,EWR,0,7,29,0
LAX,3,8,21,2,MQ,SJC,1,3,29,0
PHX,3,16,11,3,WN,SNA,0,5,30,0
STL,3,1,7,2,WN,DAL,0,6,29,0
SFO,3,8,8,2,UA,BOS,0,3,29,0
FLL,3,28,8,1,WN,MSY,0,8,30,0
SFO,3,1,9,2,UA,IAD,0,10,30,0
MDW,3,27,5,7,FL,ATL,0,3,30,0
PDX,3,7,16,1,OO,SEA,0,14,30,0
BNA,3,22,13,2,MQ,DCA,0,0,29,0
LAX,3,11,11,5,UA,SFO,1,8,30,0
MDW,3,28,14,1,WN,MCO,0,13,30,0
CLE,3,15,6,2,MQ,ORD,0,6,29,0
ATL,3,19,11,6,DL,AUS,1,8,29,0
SEA,3,2,14,3,AS,SMF,0,6,30,0
PDX,3,22,10,2,OO,LAX,0,8,30,0
ATL,3,29,10,2,FL,BUF,0,6,30,0
PVD,3,17,7,4,US,CLT,0,8,29,0
LAS,3,31,9,4,UA,LAX,0,0,30,0
ORD,3,3,10,4,AA,MCO,0,10,29,0
IAH,3,14,15,1,EV,MSP,1,13,29,0
MCO,3,30,19,3,FL,PIT,0,7,30,0
BUR,3,29,14,2,WN,DEN,0,6,29,0
BNA,3,12,8,6,EV,IAD,0,0,30,0
OGG,3,21,16,1,AS,OAK,0,10,29,0
HOU,3,15,14,2,WN,DAL,0,7,29,0
ANC,3,9,23,3,AS,ORD,0,6,29,0
MSP,3,21,6,1,F9,DEN,0,9,29,0
MSY,3,5,10,6,WN,HOU,0,13,29,0
AUS,3,3,11,4,AA,DFW,0,13,29,0
IAH,3,23,16,3,UA,LGA,0,5,30,0
MIA,3,2,15,3,AA,JFK,1,8,29,0
LAX,3,14,13,1,US,PHL,1,11,29,0
BWI,3,6,8,7,WN,PVD,0,5,29,0
FLL,3,14,7,1,WN,JAX,0,3,29,0
SFO,3,18,8,5,UA,IAD,1,5,30,0
ATL,3,19,21,6,DL,MKE,0,0,29,0
BNA,3,23,8,3,WN,AUS,0,8,30,0
PHX,3,25,12,5,YV,SAT,0,0,29,0
LAX,3,17,6,4,UA,EWR,0,5,30,0
ORD,3,7,8,1,AA,BOS,0,13,29,0
MSP,3,13,19,7,DL,ATL,0,0,30,0
ATL,3,30,17,3,FL,RIC,0,5,30,0
DAL,3,14,16,1,WN,AUS,0,11,29,0
JFK,3,26,7,6,AA,SFO,0,11,30,0
JFK,3,17,22,4,B6,BOS,0,20,29,0
SMF,3,8,6,2,WN,LAS,0,8,29,0
ORD,3,30,20,3,UA,LAS,1,6,29,0
SEA,3,24,13,4,OO,LGB,1,0,29,0
SMF,3,15,16,2,WN,BUR,0,17,29,0
IAH,3,13,7,7,UA,FLL,0,5,29,0
BDL,3,1,17,2,UA,ORD,0,5,29,0
DAL,3,15,13,2,WN,HOU,0,9,29,0
MCO,3,2,13,3,WN,CLT,0,9,30,0
SJC,3,12,7,6,WN,SNA,0,0,30,0
ATL,3,13,21,7,DL,LAS,0,0,30,0
ATL,3,23,19,3,DL,LAX,0,9,30,0
IAH,3,4,7,5,OO,DFW,0,0,29,0
LGA,3,17,8,4,FL,ATL,0,6,29,0
ORD,3,13,20,7,AA,LGA,0,3,30,0
MSP,3,15,13,2,DL,CMH,0,7,29,0
LAS,3,3,23,4,B6,BOS,0,9,29,0
LAX,3,3,23,4,AA,BDL,0,5,29,0
DTW,3,25,12,5,DL,MCI,0,11,30,0
BOS,3,14,18,1,WN,MKE,1,7,30,0
LAS,3,9,16,3,WN,SEA,0,13,29,0
BWI,3,21,15,1,WN,PVD,0,11,30,0
DTW,3,24,11,4,US,PHX,0,11,30,0
MDW,3,16,6,3,WN,LAS,0,15,29,0
SAT,3,26,8,6,AA,DFW,0,5,30,0
IAH,3,15,18,2,OO,MKE,1,9,29,0
LAX,3,2,21,3,OO,SAN,0,10,29,0
LAS,3,28,10,1,OO,SFO,1,28,29,0
LAS,3,31,19,4,AA,LAX,0,8,30,0
PHX,3,26,15,6,YV,AUS,1,0,29,0
MDW,3,3,10,4,DL,ATL,0,9,29,0
ORD,3,6,10,7,UA,SAN,0,9,29,0
SLC,3,4,7,5,OO,ORD,0,9,30,0
LAS,3,9,9,3,US,PHL,0,18,29,0
ORD,3,7,8,1,AA,DCA,0,11,29,0
DTW,3,31,8,4,9E,ORF,0,13,29,0
IAH,3,8,17,2,OO,ABQ,0,3,30,0
